ELE/MEC,EQUIPAMENTO,MARCA ,MODELO,RANGE,"UNIDADE
RANGE",COD INTERNO,SERIAL,DIVISÃO,PS,ENTRADA OF ET,SAÍDA/CAL,RETORNO CAL,ULTIMA CALIBRAÇÃO,CICLO CALIBRAÇÃO,PRÓXIMA CALIBRAÇÃO,VALIDADE CALIBRAÇÃO,CERTIFICADO  ,SITUAÇÃO,COMENTÁRIOS,CUSTO ESTIMADO,CUSTO CONTRAT (R$),PAGAMENTO,LOCAL CALIBRAÇÃO,item,CERTIFICADO 
ELE ,FONTE DC,TDK-LAMBDA,GENH300-2.5 LAN,300 V /  2.5 A,,CMASM-IDE-F21-008,LOC-846A105-0001,F-21,MQT LT2 / 2026,05/03/23,05/03/23,05/18/23,06/30/25,12,06/30/26,CALIBRADO,certificado nº 2142031/2023,CMASM,,"R$ 1,000.56",R$ 180.00,,MQT 129/2025,9,
ELE ,FONTE DC,AMETEK ,SGA-600625D-1D-AA,,,CMASM-IDE-F21-009,1649A00605,F-21,,,,,26/01/21,12,01/26/22,DESCALIBRADO,,CMASM,VRF PSB CALIBRAÇÃO POR EMPRESA COMUM,R$ 560.75,R$ 180.00,,"EMPRESA 
AUTORIZADA AMETEK",,
MEC,MANÔMETRO ANALÓGICO,,PRESSURE REGULATOR,,,CMASM-IDM-F21-002,G218315,F-21,,,,,08/07/20,24,08/07/22,DESCALIBRADO,,CMASM,,R$ 90.00,R$ 65.00,,MQT 129/2025,,
MEC,MANÔMETRO ANALÓGICO,,ANALOGIC MANOMETER 0 TO 400 BARS,400.00,Bar,CMASM-IDM-F21-003,S/N,F-21,,,,,,12,01/01/24,DESCALIBRADO,,CMASM,,R$ 90.00,R$ 65.00,,MQT 129/2025,,
MEC,MANÔMETRO DIGITAL,,PRESSURE SWITCH SETTING TOOL (ART_0000016319) (WIKA CPH6300 (READER) + CPT6200 (SENSOR)),,,CMASM-IDM-F21-007,F301900002,F-21,MQT LT1.2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,CMASM-IDM-F21-00703/10/24,CMASM,,R$ 84.33,R$ 70.00,,MQT 129/2025,,
MEC,"MANÔMETRO DIGITAL
 IN LOCO",AOIP,"PRESSURE SENSOR (ART_0000019066) – P2
AIOP-IT (0-6 bar)",6.00,Bar,CMASM-IDM-F21-004,0025A,F-21,BACS 2026-01,---,----,----,06/29/23,12,06/29/24,DESCALIBRADO,certificado P-005895,CMASM,Calibração deve ser realizada in loco. ,"R$ 1,058.44",R$ 0.00,,BACS,,
MEC,"MANÔMETRO DIGITAL
 IN LOCO",AOIP,"PRESSURE SENSOR (ART_0000019066) – P1
AIOP-IT (0-6 bar)",6.00,Bar,CMASM-IDM-F21-005,0045A,F-21,BACS 2026-02,---,----,----,06/29/23,12,06/29/24,DESCALIBRADO,certificado P-005894,CMASM,Calibração deve ser realizada in loco. ,"R$ 1,058.44",R$ 0.00,,BACS,,
MEC,"MANÔMETRO DIGITAL
 IN LOCO",AOIP,"PRESSURE SENSOR (ART_0000019066) – VÁCUO
AIOP-IT (0-1,6 bar)",1.60,Bar,CMASM-IDM-F21-006,0049A,F-21,BACS 2026-03,---,----,----,06/29/23,12,06/29/24,DESCALIBRADO,certificado P-005896,CMASM,Calibração deve ser realizada in loco. ,"R$ 1,058.44",R$ 0.00,,BACS,,
ELE,MANOMETRO DIGITAL ( PRESSURE SWITCH WIKA ),CPH6300,WIKA,,,CMASM-IDM-F21-0???,,F-21,,,,,,,,,,,MQT LOTE2026.01,,,,MQT 129/2025,,
ELE ,MEGÔHMETRO,SEFELEC,MXS500,50KΩ - 200GΩ,Ω,CMASM-IDE-F21-010,72233,F-21,MQT LT2 / 2026,05/09/23,05/10/23,05/18/23,06/28/23,12,06/28/24,DESCALIBRADO,certificado nº E-0422/2023,CMASM,,R$ 150.00,R$ 260.00,,MQT 129/2025,13,
ELE ,MEGÔHMETRO,FLUKE,1507,"0,01 MΩ -10 GΩ",Ω,CMASM-IDE-F21-011,48630167,F-21,MQT LT1.2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,MQT31184/24,CMASM,,R$ 373.83,R$ 260.00,,MQT 129/2025,,
ELE ,MEGÔHMETRO,CHAUVIN ARNOUX ,CA 6541, resistance: 0.01 Ω to 400 kΩ continuity: 0.01Ω to +40 Ω,,CMASM-IDE-F21-012,165549RJH,F-21,MQT LT2 / 2026,10/11/23,10/16/23,10/23/23,10/17/23,12,10/17/24,DESCALIBRADO,certificado nº 2142103/2023 ,CMASM,,R$ 373.83,R$ 260.00,,MQT 129/2025,13,
MEC,MICROMETRO DE PROFUNDIDADE,FACOM,806.F,0.01,mm,CMASM-IDM-F21-008,180181191,F-21,MQT LT1.2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,MQT31051/24,CMASM,,R$ 84.33,R$ 85.00,,MQT 129/2025,,
MEC,MICROMETRO DE PROFUNDIDADE,FACOM,806.F,0.01,mm,CMASM-IDM-F21-009,180181221,F-21,MQT LT1.2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,MQT31050/24,CMASM,,R$ 84.33,R$ 85.00,,MQT 129/2025,,
MEC,MICROMETRO DE PROFUNDIDADE,FACOM,806.F,0.01,mm,CMASM-IDM-F21-010,191085777,F-21,MQT LT2 / 2026,,,,02/10/25,12,02/10/26,DESCALIBRADO,1630-24 ,CMASM,,R$ 84.33,R$ 85.00,,MQT 129/2025,31,
MEC,MICROMETRO DE PROFUNDIDADE,FACOM,806.F,0.01,mm,CMASM-IDM-F21-011,191085779,F-21,MQT LT2 / 2026,,,,02/10/25,12,02/10/26,DESCALIBRADO,MQT4126/25,CMASM,,R$ 84.33,R$ 85.00,,MQT 129/2025,31,
ELE ,MULTÍMETRO,FACOM,711B,,,CMASM-IDE-F21-013,2019W450661,F-21,MQT LT2 / 2026,08/23/24,09/05/24,01/31/25,12/12/24,12,12/12/25,DESCALIBRADO,certificado nº 2142109/2024,CMASM,,"R$ 1,164.35",R$ 165.00,,MQT 129/2025,14,
ELE ,MULTÍMETRO,FACOM,711B,,,CMASM-IDE-F21-014,2019W450803,F-21,,,,,,12,01/01/24,DESCALIBRADO,,CMASM,,R$ 776.23,R$ 165.00,,MQT 129/2025,,
ELE ,MULTÍMETRO,FACOM,711B,,,CMASM-IDE-F21-015,2019W460729,F-21,MQT LT1.2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,certificado nº 2142093/2023,CMASM,,R$ 776.23,R$ 165.00,,MQT 129/2025,,
ELE ,MULTÍMETRO,FACOM,711B,,,CMASM-IDE-F21-016,2020W020473,F-21,,,,,,12,01/01/24,DESCALIBRADO,,CMASM,,R$ 776.23,R$ 165.00,,MQT 129/2025,,
ELE ,MULTÍMETRO,FLUKE,17B+,,,CMASM-IDE-F21-017,48412868WS,F-21,MQT LT1.2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,certificado nº 2142044/2023,CMASM,,R$ 667.04,R$ 165.00,,MQT 129/2025,,
ELE ,MULTÍMETRO,FLUKE,17B+,,,CMASM-IDE-F21-018,51180543WS,F-21,MQT LT2 / 2026,08/23/24,09/05/24,02/17/25,02/04/25,12,02/04/26,DESCALIBRADO,certificado nº 2142004/2025,CMASM,,R$ 776.23,R$ 165.00,,MQT 129/2025,14,
ELE ,MULTÍMETRO,FLUKE,17B+,,,CMASM-IDE-F21-019,51180565WS,F-21,MQT LT1.2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,,CMASM,,R$ 776.23,R$ 165.00,,MQT 129/2025,,
ELE ,"MULTÍMETRO
PROPRIETÁRIO NI",NATIONAL INSTRUMENTS ,PXIE-4080,,,CMASM-IDE-F21-020,01CE4764,F-21,,12/05/24,,,08/03/20,24,08/03/22,DESCALIBRADO,,CMASM,,R$ 560.75,R$ 0.00,,CMS,,
ELE ,MULTÍMETRO 6 DÍGITOS,KEYSIGHT,34461A,,,CMASM-IDE-F21-021,MY53208356,F-21,CMS 2026,05/09/23,05/10/23,05/18/23,05/12/23,12,05/12/24,DESCALIBRADO,certificado nº 2142036/2023,CMASM,,R$ 667.04,R$ 967.01,,CMS,,
ELE ,MULTÍMETRO 6 DÍGITOS,KEYSIGHT,34461A,"1000 VDC 
750 VAC
100 a 100M Ohm
0.01 a 3 ADC
1 a 3 AAC
Continuidade 
Diodo",,CMASM-IDE-F21-022,MY57211490,F-21,CMS 2026,05/03/23,05/03/23,05/18/23,06/30/25,12,06/30/26,CALIBRADO,certificado nº 2142037/2023,CMASM,,R$ 667.04,R$ 967.01,,CMS,,
ELE ,OHMÍMETRO,AOIP,RN5306,,,CMASM-IDE-F21-023,2811NE080117A,F-21,MQT LT1.2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,certificado nº 2142089/2023 ,CMASM,,R$ 84.33,R$ 456.00,,MQT 129/2025,,
ELE ,OHMÍMETRO,AOIP,RN5306,,,CMASM-IDE-F21-024,2811NE080141A,F-21,MQT LT2 / 2026,,,,,12,01/01/24,DESCALIBRADO,REPARO,CMASM,,R$ 776.23,R$ 456.00,,MQT 129/2025,17,
